,Plot,ARPA,CECO,CEIN,RIRO,CEVE,SYMO,storrie_rdnbr,chips_rdnbr,dom
1,1.1.1,0,0,0,2.75,0,0,198,207,RIRO
2,1.1.2,0,0,0,0,0,0,0,0,
3,1.1.3,0,0,0,0,0,1,0,0,SYMO
4,1.1.4,0,18,0,0,0,2.75,0,0,CECO
5,1.2.1,0,0,0,1,0,1,59,56,
6,1.2.2,0,0,1,0,0,0,130,36,CEIN
7,1.2.3,0,0,1,0,0,0,190,50,CEIN
8,1.2.4,19.5,18,0,1,0,21.25,685,437,SYMO
9,1.2.5,1,1,2.75,1,0,0,168,332,CEIN
10,1.2.6,0,0,1,1,0,4.5,109,92,SYMO
11,1.3.1,0,0,40.5,1,0,1,110,250,CEIN
12,1.3.2,1,0,11.25,1,0,0,68,577,CEIN
13,1.3.3,0,0,1,1,0,0,207,137,
14,1.3.4,0,0,18,0,0,0,-103,600,CEIN
15,1.3.5,0,0,2.75,0,0,0,-2,509,CEIN
16,1.3.6,0,0,4.5,1,0,0,21,581,CEIN
17,1.4.1,0,0,50.5,1,0,4.5,-84,954,CEIN
18,1.4.2,2.75,0,21.25,1,0,0,49,789,CEIN
19,1.4.3,1,0,63,1,0,0,23,1055,CEIN
20,1.4.4,0,0,75.5,2.75,0,0,2,869,CEIN
21,1.4.5,0,0,88,1,0,0,40,1014,CEIN
22,1.4.6,0,0,28,0,0,0,-106,875,CEIN
23,2.1.1,0,4.5,0,1,0,0,399,77,CECO
24,2.1.2,1,0,11.25,1,0,4.5,130,433,CEIN
25,2.1.3,0,0,4.5,0,0,1,333,65,CEIN
26,2.1.4,1,1,0,0,0,0,164,200,
27,2.1.5,0,0,2.75,2.75,0,2.75,152,39,
28,2.1.6,0,21.25,11.25,11.25,0,4.5,285,121,CECO
29,2.2.1,0,0,0,0,0,0,50,101,
30,2.2.2,0,0,0,0,0,0,37,121,
31,2.2.3,1,0,0,18,1,4.5,227,36,RIRO
32,2.2.4,0,0,0,0,0,1,130,272,SYMO
33,2.2.5,0,0,21.25,1,18,0,335,175,CEIN
34,2.2.6,0,0,1,0,0,0,148,108,CEIN
35,2.3.1,1,4.5,0,1,0,0,286,339,CECO
36,2.3.2,0,1,0,1,0,0,392,167,
37,2.3.3,0,0,2.75,0,0,0,261,119,CEIN
38,2.3.4,0,4.5,4.5,1,4.5,4.5,413,187,
39,2.3.5,1,1,0,0,0,1,555,301,
40,2.3.6,28,63,1,4.5,0,0,513,614,CECO
41,2.4.1,2.75,18,0,0,0,1,572,672,CECO
42,2.4.2,1,0,0,1,0,0,481,719,
43,2.4.3,1,0,63,2.75,0,0,354,725,CEIN
44,2.4.4,0,0,4.5,0,0,0,597,614,CEIN
45,2.4.5,11.25,38,0,1,0,0,229,680,CECO
46,2.4.6,0,0,75.5,4.5,0,0,338,751,CEIN
47,3.1.1,0,0,18,0,0,4.5,250,53,CEIN
48,3.1.2,4.5,0,18,4.5,1,0,709,88,CEIN
49,3.1.3,0,0,0,2.75,0,0,493,-96,RIRO
50,3.1.4,0,0,50.5,0,0,0,728,0,CEIN
51,3.1.5,4.5,4.5,0,1,0,0,383,97,
52,3.1.6,28,38,0,4.5,0,0,565,50,CECO
53,3.2.1,0,0,11.25,1,0,0,434,182,CEIN
54,3.2.2,0,0,4.5,1,0,0,144,389,CEIN
55,3.2.3,9.5,0,46.25,1,0,4.5,144,389,CEIN
56,3.2.4,0,0,19.5,1,0,0,404,179,CEIN
57,3.2.5,4.5,53,0,1,0,0,538,867,CECO
58,3.2.6,0,38,0,2.75,0,0,547,561,CECO
59,3.3.2,4.5,0,38,2.75,0,4.5,576,452,CEIN
60,3.3.4,0,0,46.25,4.5,0,0,628,400,CEIN
61,3.3.5,2.75,4.5,28,4.5,0,4.5,783,654,CEIN
62,3.3.6,0,0,18,1,0,0,828,556,CEIN
63,3.4.1,0,33.75,4.5,0,4.5,0,591,764,CECO
64,3.4.2,0,1,75.5,4.5,1,0,691,673,CEIN
65,3.4.3,0,0,28,2.75,1,0,312,630,CEIN
66,3.4.4,1,40.5,4.5,4.5,0,0,861,819,CECO
67,3.4.5,1,50.5,0,1,0,0,685,694,CECO
68,3.4.6,0,0,28,1,1,0,1000,670,CEIN
69,4.1.1,4.5,4.5,0,2.75,0,0,1220,-140,
70,4.1.2,11.25,88,0,0,0,0,731,20,CECO
71,4.1.3,18,63,18,2.75,0,0,698,-43,CECO
72,4.1.4,18,0,18,2.75,38,0,1016,-453,CEVE
73,4.1.5,11.25,0,63,0,0,0,737,0,CEIN
74,4.1.6,4.5,0,18,0,0,0,883,0,CEIN
75,4.2.1,0,0,53,0,0,0,802,501,CEIN
76,4.2.2,11.25,4.5,46.25,0,53,0,881,-162,CEVE
77,4.2.3,4.5,18,11.25,4.5,11.25,0,716,475,CECO
78,4.2.4,21.25,0,28,1,0,0,823,590,CEIN
79,4.2.5,50.5,21.25,38,0,0,0,1064,676,ARPA
80,4.2.6,1,0,63,1,4.5,0,793,472,CEIN
81,4.3.1,0,38,1,1,0,0,1001,605,CECO
82,4.3.2,9.5,28,0,4.5,0,4.5,485,819,CECO
83,4.3.3,2.75,0,28,0,1,0,747,640,CEIN
84,4.3.4,2.75,0,75.5,1,0,2.75,707,442,CEIN
85,4.3.5,0,4.5,50.5,1,0,0,1048,810,CEIN
86,4.3.6,0,0,63,0,0,0,897,706,CEIN
87,4.4.1,0,50.5,0,2.75,0,0,1037,891,CECO
88,4.4.2,2.75,18,0,0,0,0,1097,810,CECO
89,4.4.3,0,38,0,1,0,0,892,726,CECO
90,4.4.4,0,0,9.5,4.5,18,0,756,662,CEVE
91,4.4.5,2.75,18,11.25,4.5,0,0,757,819,CECO
92,4.4.6,28,63,1,1,0,0,870,597,CECO
